"","x"
"1843",79.9
"1844",81.3
"1845",82.2
"1846",82.6
"1847",82.6
"1848",82.6
"1849",83.1
"1850",81.9
"1851",82.2
"1852",81.3
"1853",81
"1854",81.3
"1855",79.9
"1856",79.3
"1857",79.3
"1858",79.2
"1859",78.8
"1860",78.4
"1861",78.3
"1862",77.7
"1863",77.9
"1864",77.9
"1865",77.4
"1866",77.7
"1867",79.3
"1868",81.3
"1869",81.3
"1870",81.3
"1871",81.9
"1872",83.3
"1873",82.9
"1874",84
"1875",84.2
"1876",82.6
"1877",82.2
"1878",81.9
"1879",80.2
"1880",79.5
"1881",79.3
"1882",79.2
"1883",79.2
"1884",79.3
"1885",78.6
"1886",78.8
"1887",78.3
"1888",78.1
"1889",77.9
"1890",77.7
"1891",78.8
"1892",81
"1893",82
"1894",83.3
"1895",83.7
"1896",84
"1897",83.7
"1898",83.5
"1899",84
"1900",83.7
"1901",82.9
"1902",82.4
"1903",80.6
"1904",80.1
"1905",80.1
"1906",79.5
"1907",79.2
"1908",79.2
"1909",79.3
"1910",79
"1911",78.6
"1912",78.8
"1913",78.8
"1914",79.2
"1915",80.1
"1916",82.4
"1917",83.3
"1918",83.7
"1919",83.7
